fecha;mes;festivo;npasajeros;intensidad_evento;inten_lluvia;ocupacion_trafico;semana_mes;day_of_week
2016-02-24;2;0;4128;0;1.4;71.2649006623;2;2
2016-02-25;2;0;4012;0;0.1;73.9507042254;2;3
2016-02-26;2;0;3435;0;4.2;109.138888889;2;4
2016-02-27;2;0;2152;0;0.0;85.1758241758;2;5
2016-02-28;2;0;1887;0;0.0;61.1558441558;2;6
2016-02-29;2;0;4018;0;0.0;55.6049382716;2;0
2016-03-01;3;0;3947;0;0.0;58.8559322034;0;1
2016-03-02;3;0;4202;0;0.0;55.2913907285;0;2
2016-03-03;3;0;3741;0;0.0;67.9901960784;0;3
2016-03-04;3;0;3803;0;3.4;75.3984962406;0;4
2016-03-05;3;0;2416;0;0.0;58.3300970874;0;5
2016-03-06;3;0;1977;0;0.0;57.0789473684;0;6
2016-03-07;3;0;3692;0;0.0;56.4057971014;0;0
2016-03-08;3;0;3845;0;0.0;65.4057971014;1;1
2016-03-09;3;0;4144;0;0.0;71.7578125;1;2
2016-03-10;3;0;3855;0;0.0;77.9;1;3
2016-03-11;3;0;4020;0;0.0;99.962962963;1;4
2016-03-12;3;0;2620;0;0.0;0.0;1;5
2016-03-13;3;0;2169;0;0.0;0.0;1;6
2016-03-14;3;0;3841;0;0.0;55.3442622951;1;0
2016-03-15;3;0;3931;0;0.0;82.5093167702;1;1
2016-03-16;3;0;4074;0;0.0;81.5925925926;1;2
2016-03-17;3;0;3967;0;0.0;73.3684210526;1;3
2016-03-18;3;0;3805;0;2.8;73.4507042254;1;4
2016-03-19;3;0;2153;0;0.2;46.7362637363;1;5
2016-03-20;3;0;1683;0;0.1;53.4935064935;1;6
2016-03-21;3;0;3242;0;9.4;70.0873015873;1;0
2016-03-22;3;0;3176;0;0.1;74.2659574468;2;1
2016-03-23;3;0;3203;0;0.0;42.4796747967;2;2
2016-03-24;3;1;1653;0;0.0;39.8153846154;2;3
2016-03-25;3;1;1734;0;0.1;35.3333333333;2;4
